Message{id=05fefc51-1aba-4831-a691-bb8bf792ce4f, timestamp=1779858626540, payload={timestamp=1779858626540, sensorId=sensor, temperature=17.5, unit=°C}}
Message{id=9944d577-7eef-4600-a755-b6db7862d53d, timestamp=1779858627541, payload={timestamp=1779858627541, sensorId=sensor, temperature=17.3, unit=°C}}
Message{id=d940f763-21c2-4cf9-b0c2-0d030571bdb6, timestamp=1779858645986, payload={timestamp=1779858645986, sensorId=sensor, temperature=24.4, unit=°C}}
Message{id=661730a7-7042-4de8-8f3f-7bc1d777c6e4, timestamp=1779858646986, payload={timestamp=1779858646986, sensorId=sensor, temperature=16.7, unit=°C}}
Message{id=fb61a25e-1316-494d-b1f9-dd1dabe81ce2, timestamp=1779858647987, payload={timestamp=1779858647987, sensorId=sensor, temperature=29.7, unit=°C}}
Message{id=c0d369e3-0f23-43e3-b6ef-35cd48a33311, timestamp=1779858648988, payload={timestamp=1779858648988, sensorId=sensor, temperature=15.5, unit=°C}}
Message{id=9e266299-18b1-41c5-9314-794bd60dec78, timestamp=1779858654988, payload={timestamp=1779858654988, sensorId=sensor, temperature=24.4, unit=°C}}
Message{id=f5196228-55da-4587-a598-4f452e8f7fde, timestamp=1779858655988, payload={timestamp=1779858655987, sensorId=sensor, temperature=15.2, unit=°C}}
Message{id=5f43a073-a681-4f42-9bec-5d9864b65357, timestamp=1779858656984, payload={timestamp=1779858656984, sensorId=sensor, temperature=18.3, unit=°C}}
Message{id=ad98c567-3d70-436f-8639-191741d5ba4e, timestamp=1779858657985, payload={timestamp=1779858657985, sensorId=sensor, temperature=24.4, unit=°C}}
Message{id=0acae0e9-eaab-4fe9-bd0e-bae0e6d07622, timestamp=1779858658987, payload={timestamp=1779858658987, sensorId=sensor, temperature=28.5, unit=°C}}
Message{id=1c4b76b9-78c6-4bf7-b2b2-5fc4050e6bb1, timestamp=1779858659983, payload={timestamp=1779858659983, sensorId=sensor, temperature=29.3, unit=°C}}
Message{id=cd6ce7ac-c08e-48f0-96c5-092ebd93bf92, timestamp=1779858660984, payload={timestamp=1779858660984, sensorId=sensor, temperature=29.8, unit=°C}}
Message{id=221459e9-c0ef-4367-9b81-9c608df25358, timestamp=1779858661984, payload={timestamp=1779858661984, sensorId=sensor, temperature=22.1, unit=°C}}
Message{id=c176540b-8fe7-4763-b259-507ddaa9666a, timestamp=1779858662987, payload={timestamp=1779858662987, sensorId=sensor, temperature=17.4, unit=°C}}
Message{id=aa8a9047-665b-45e5-b8b9-75ed1c48cada, timestamp=1779858663985, payload={timestamp=1779858663985, sensorId=sensor, temperature=27.2, unit=°C}}
Message{id=130adc84-8175-4212-823e-ec490a884185, timestamp=1779858847244, payload={unit=°C, temperature=18.9, sensorId=sensor, timestamp=1779858847244}}
Message{id=245d1500-37a3-42b2-a403-b8842fc6ef69, timestamp=1779858850231, payload={unit=°C, temperature=28.6, sensorId=sensor, timestamp=1779858850231}}
Message{id=b1934a04-f664-4590-b4de-b279226bb8c9, timestamp=1779858876792, payload={sensorId=sensor, timestamp=1779858876792, unit=°C, temperature=24.7}}
Message{id=adf1b50e-6b5c-4825-8f78-e50298364929, timestamp=1779858878773, payload={sensorId=sensor, timestamp=1779858878773, unit=°C, temperature=22.0}}
Message{id=f19727e0-b307-473d-a830-f6511818d74e, timestamp=1779858879778, payload={sensorId=sensor, timestamp=1779858879778, unit=°C, temperature=17.9}}
Message{id=be94543e-b982-4743-8452-3cb788d592ed, timestamp=1779858882774, payload={sensorId=sensor, timestamp=1779858882774, unit=°C, temperature=19.4}}
Message{id=a61b8699-7408-4913-9b74-4819f24cb1c8, timestamp=1779858886800, payload={sensorId=sensor, timestamp=1779858886800, unit=°C, temperature=28.7}}
Message{id=c823ceb9-4ab9-46e5-852b-4f523182c928, timestamp=1779858887801, payload={sensorId=sensor, timestamp=1779858887801, unit=°C, temperature=17.8}}
Message{id=fb63fef9-5319-42e9-a732-0d3a693f6985, timestamp=1779858888801, payload={sensorId=sensor, timestamp=1779858888801, unit=°C, temperature=26.1}}
Message{id=bd537bce-67c1-44fa-b607-14ead61279f9, timestamp=1779858890812, payload={sensorId=sensor, timestamp=1779858890812, unit=°C, temperature=18.9}}
Message{id=9a92f8fe-eb88-4865-8844-cd8081755198, timestamp=1779858891817, payload={sensorId=sensor, timestamp=1779858891817, unit=°C, temperature=15.4}}
Message{id=890296e8-f69c-4472-bec1-bc08f9ea94f3, timestamp=1779858893816, payload={sensorId=sensor, timestamp=1779858893816, unit=°C, temperature=20.0}}
Message{id=d635cb12-892a-4493-85eb-51c5bdcaab37, timestamp=1779858894816, payload={sensorId=sensor, timestamp=1779858894816, unit=°C, temperature=27.9}}
Message{id=fe1e480a-9d36-4f80-9b18-a03b16f18392, timestamp=1779858896814, payload={sensorId=sensor, timestamp=1779858896814, unit=°C, temperature=19.3}}
Message{id=87203f00-6dcc-4c73-9e42-5f119f35bdff, timestamp=1779858897824, payload={sensorId=sensor, timestamp=1779858897824, unit=°C, temperature=22.2}}
Message{id=7559fc44-e145-4abd-b830-c3731e282af6, timestamp=1779858898828, payload={sensorId=sensor, timestamp=1779858898828, unit=°C, temperature=19.3}}
Message{id=0515122b-abf7-4876-8618-59cb5791be92, timestamp=1779858899825, payload={sensorId=sensor, timestamp=1779858899825, unit=°C, temperature=22.3}}
Message{id=01ad3528-81e2-40d9-9e4a-1aede17ef3c0, timestamp=1779858900829, payload={sensorId=sensor, timestamp=1779858900829, unit=°C, temperature=25.5}}
